----------------------------------
CPU utilization: 100%
Cores used: 16
Cores available: 0

Running Processes:
process0       (11/04/2024 08:43:30 PM) Core: 13    82 / 5000   
process1       (11/04/2024 08:43:30 PM) Core: N/A   80 / 5000   
process2       (11/04/2024 08:43:31 PM) Core: N/A   80 / 5000   
process3       (11/04/2024 08:43:31 PM) Core: N/A   80 / 5000   
process4       (11/04/2024 08:43:31 PM) Core: N/A   80 / 5000   
process5       (11/04/2024 08:43:31 PM) Core: N/A   80 / 5000   
process6       (11/04/2024 08:43:31 PM) Core: N/A   75 / 5000   
process7       (11/04/2024 08:43:31 PM) Core: N/A   75 / 5000   
process8       (11/04/2024 08:43:31 PM) Core: N/A   75 / 5000   
process9       (11/04/2024 08:43:31 PM) Core: N/A   75 / 5000   
process10      (11/04/2024 08:43:31 PM) Core: N/A   70 / 5000   
process11      (11/04/2024 08:43:32 PM) Core: N/A   70 / 5000   
process12      (11/04/2024 08:43:32 PM) Core: N/A   70 / 5000   
process13      (11/04/2024 08:43:32 PM) Core: N/A   70 / 5000   
process14      (11/04/2024 08:43:32 PM) Core: 1     66 / 5000   
process15      (11/04/2024 08:43:32 PM) Core: N/A   65 / 5000   
process16      (11/04/2024 08:43:32 PM) Core: N/A   65 / 5000   
process17      (11/04/2024 08:43:32 PM) Core: N/A   65 / 5000   
process18      (11/04/2024 08:43:32 PM) Core: N/A   65 / 5000   
process19      (11/04/2024 08:43:32 PM) Core: N/A   60 / 5000   
process20      (11/04/2024 08:43:33 PM) Core: N/A   60 / 5000   
process21      (11/04/2024 08:43:33 PM) Core: N/A   60 / 5000   
process22      (11/04/2024 08:43:33 PM) Core: N/A   60 / 5000   
process23      (11/04/2024 08:43:33 PM) Core: N/A   60 / 5000   
process24      (11/04/2024 08:43:33 PM) Core: N/A   55 / 5000   
process25      (11/04/2024 08:43:33 PM) Core: N/A   55 / 5000   
process26      (11/04/2024 08:43:33 PM) Core: N/A   55 / 5000   
process27      (11/04/2024 08:43:33 PM) Core: N/A   55 / 5000   
process28      (11/04/2024 08:43:33 PM) Core: N/A   55 / 5000   
process29      (11/04/2024 08:43:34 PM) Core: N/A   55 / 5000   
process30      (11/04/2024 08:43:34 PM) Core: N/A   50 / 5000   
process31      (11/04/2024 08:43:34 PM) Core: N/A   50 / 5000   
process32      (11/04/2024 08:43:34 PM) Core: N/A   50 / 5000   
process33      (11/04/2024 08:43:34 PM) Core: N/A   50 / 5000   
process34      (11/04/2024 08:43:34 PM) Core: N/A   50 / 5000   
process35      (11/04/2024 08:43:34 PM) Core: N/A   50 / 5000   
process36      (11/04/2024 08:43:34 PM) Core: N/A   50 / 5000   
process37      (11/04/2024 08:43:34 PM) Core: N/A   50 / 5000   
process38      (11/04/2024 08:43:34 PM) Core: 16    49 / 5000   
process39      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process40      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process41      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process42      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process43      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process44      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process45      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process46      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process47      (11/04/2024 08:43:35 PM) Core: N/A   45 / 5000   
process48      (11/04/2024 08:43:36 PM) Core: N/A   45 / 5000   
process49      (11/04/2024 08:43:36 PM) Core: N/A   40 / 5000   
process50      (11/04/2024 08:43:36 PM) Core: N/A   40 / 5000   
process51      (11/04/2024 08:43:36 PM) Core: N/A   40 / 5000   
process52      (11/04/2024 08:43:36 PM) Core: N/A   40 / 5000   
process53      (11/04/2024 08:43:36 PM) Core: N/A   40 / 5000   
process54      (11/04/2024 08:43:36 PM) Core: N/A   40 / 5000   
process55      (11/04/2024 08:43:36 PM) Core: N/A   40 / 5000   
process56      (11/04/2024 08:43:36 PM) Core: N/A   40 / 5000   
process57      (11/04/2024 08:43:37 PM) Core: N/A   40 / 5000   
process58      (11/04/2024 08:43:37 PM) Core: N/A   40 / 5000   
process59      (11/04/2024 08:43:37 PM) Core: N/A   40 / 5000   
process60      (11/04/2024 08:43:37 PM) Core: N/A   40 / 5000   
process61      (11/04/2024 08:43:37 PM) Core: N/A   40 / 5000   
process62      (11/04/2024 08:43:37 PM) Core: N/A   35 / 5000   
process63      (11/04/2024 08:43:37 PM) Core: N/A   35 / 5000   
process64      (11/04/2024 08:43:37 PM) Core: N/A   35 / 5000   
process65      (11/04/2024 08:43:37 PM) Core: N/A   35 / 5000   
process66      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process67      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process68      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process69      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process70      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process71      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process72      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process73      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process74      (11/04/2024 08:43:38 PM) Core: N/A   35 / 5000   
process75      (11/04/2024 08:43:39 PM) Core: N/A   35 / 5000   
process76      (11/04/2024 08:43:39 PM) Core: N/A   35 / 5000   
process77      (11/04/2024 08:43:39 PM) Core: N/A   35 / 5000   
process78      (11/04/2024 08:43:39 PM) Core: N/A   35 / 5000   
process79      (11/04/2024 08:43:39 PM) Core: 8     33 / 5000   
process80      (11/04/2024 08:43:39 PM) Core: N/A   30 / 5000   
